Highest Offense Description,Highest Offense Code,Zip Code,frequency
CRIMINAL MISCHIEF,1400,78705,5188
DISTURBANCE - OTHER,3401,78753,5093
FAMILY DISTURBANCE,3400,78724,5072
FAMILY DISTURBANCE,3400,78759,5050
AUTO THEFT,700,78753,5033
ASSAULT WITH INJURY,900,78741,4953
AUTO THEFT,700,78758,4876
DWI,2100,78703,4765
THEFT,600,78749,4748
HARASSMENT,2703,78758,4742
DISTURBANCE - OTHER,3401,78704,4739
DISTURBANCE - OTHER,3401,78745,4692
DWI,2100,78753,4563
BURGLARY OF VEHICLE,601,78727,4545
HARASSMENT,2703,78753,4524
CRIMINAL MISCHIEF,1400,78748,4519
CRIMINAL MISCHIEF,1400,78752,4481
HARASSMENT,2703,78744,4479
WARRANT ARREST NON TRAFFIC,3442,78702,4436
POSS CONTROLLED SUB/NARCOTIC,1800,78702,4391
DWI,2100,78745,4390
CRIMINAL MISCHIEF,1400,78759,4354
ASSAULT W/INJURY-FAM/DATE VIOL,900,78704,4337
THEFT BY SHOPLIFTING,607,78704,4318
HARASSMENT,2703,78704,4297
CRIMINAL TRESPASS,2716,78701,4276
CRIMINAL TRESPASS,2716,78741,4264
POSS CONTROLLED SUB/NARCOTIC,1800,78741,4218
ASSAULT W/INJURY-FAM/DATE VIOL,900,78702,4185
CUSTODY ARREST TRAFFIC WARR,3722,78702,4165
DWI,2100,78758,4153
FAMILY DISTURBANCE,3400,78727,4128
CUSTODY ARREST TRAFFIC WARR,3722,78753,4108
POSSESSION OF MARIJUANA,1803,78741,4048
FAMILY DISTURBANCE,3400,78757,3987
CRIMINAL TRESPASS,2716,78702,3984
THEFT OF BICYCLE,609,78705,3832
DWI,2100,78702,3810
THEFT BY SHOPLIFTING,607,78758,3770
HARASSMENT,2703,78723,3762
FAMILY DISTURBANCE,3400,78749,3755
DISTURBANCE - OTHER,3401,78723,3743
DISTURBANCE - OTHER,3401,78744,3726
POSS OF DRUG PARAPHERNALIA,1818,78753,3706
BURGLARY OF RESIDENCE,500,78702,3700
ASSAULT WITH INJURY,900,78758,3699
THEFT BY SHOPLIFTING,607,78741,3690
POSS OF DRUG PARAPHERNALIA,1818,78741,3679
ASSAULT WITH INJURY,900,78753,3669
AUTO THEFT,700,78704,3661
DISTURBANCE - OTHER,3401,78701,3641
POSSESSION OF MARIJUANA,1803,78701,3571
CRIMINAL MISCHIEF,1400,78757,3565
WARRANT ARREST NON TRAFFIC,3442,78741,3520
THEFT,600,78703,3493
THEFT,600,78721,3486
CUSTODY ARREST TRAFFIC WARR,3722,78758,3451
CRIMINAL TRESPASS,2716,78753,3382
AUTO THEFT,700,78745,3351
POSSESSION OF MARIJUANA,1803,78702,3340
CRIMINAL MISCHIEF,1400,78751,3331
FAMILY DISTURBANCE,3400,78729,3327
THEFT,600,78727,3327
ASSAULT WITH INJURY,900,78702,3317
CUSTODY ARREST TRAFFIC WARR,3722,78704,3316
ASSAULT W/INJURY-FAM/DATE VIOL,900,78752,3312
THEFT BY SHOPLIFTING,607,78723,3303
BURGLARY OF VEHICLE,601,78750,3290
ASSAULT WITH INJURY,900,78723,3267
CRIMINAL MISCHIEF,1400,78749,3242
CRIMINAL TRESPASS,2716,78723,3189
DISTURBANCE - OTHER,3401,78702,3188
CUSTODY ARREST TRAFFIC WARR,3722,78745,3138
BURGLARY OF VEHICLE,601,78754,3122
BURGLARY NON RESIDENCE,502,78745,3119
POSS CONTROLLED SUB/NARCOTIC,1800,78753,3108
POSS CONTROLLED SUB/NARCOTIC,1800,78701,3104
THEFT BY SHOPLIFTING,607,78748,3103
THEFT OF BICYCLE,609,78704,3080
WARRANT ARREST NON TRAFFIC,3442,78704,3047
CUSTODY ARREST TRAFFIC WARR,3722,78701,3034
ASSAULT WITH INJURY,900,78704,3009
BURGLARY NON RESIDENCE,502,78704,2999
THEFT,600,78731,2998
AUTO THEFT,700,78744,2989
CUSTODY ARREST TRAFFIC WARR,3722,78723,2979
ASSAULT BY CONTACT,902,78701,2930
CRIMINAL TRESPASS,2716,78704,2921
CRIMINAL MISCHIEF,1400,78724,2902
DWI,2100,78723,2901
HARASSMENT,2703,78748,2866
CRIMINAL TRESPASS,2716,78758,2866
ASSAULT W/INJURY-FAM/DATE VIOL,900,78748,2849
ASSAULT WITH INJURY,900,78745,2844
VOCO - ALCOHOL  CONSUMPTION,3211,78702,2840
CAMPING IN PARK,3214,78701,2823
BURGLARY OF RESIDENCE,500,78752,2820
AUTO THEFT,700,78723,2809
CRIMINAL MISCHIEF,1400,78721,2803
THEFT OF BICYCLE,609,78701,2772
DWI,2100,78752,2744
BURGLARY NON RESIDENCE,502,78758,2738
FAMILY DISTURBANCE,3400,78750,2735
BURGLARY NON RESIDENCE,502,78753,2734
BURGLARY NON RESIDENCE,502,78702,2733
VOCO - ALCOHOL  CONSUMPTION,3211,78701,2731
DWI,2100,78744,2713
CRIMINAL MISCHIEF,1400,78727,2692
BURGLARY OF RESIDENCE,500,78748,2692
WARRANT ARREST NON TRAFFIC,3442,78753,2683
HARASSMENT,2703,78702,2663
POSSESSION OF MARIJUANA,1803,78753,2647
CRIMINAL TRESPASS/TRANSIENT,2721,78701,2634
THEFT BY SHOPLIFTING,607,78746,2616
DWI,2100,78759,2609
FAMILY DISTURBANCE,3400,78751,2605
THEFT,600,78729,2586
THEFT,600,78724,2584
FAMILY DISTURBANCE,3400,78754,2577
FAMILY DISTURBANCE,3400,78617,2570
POSSESSION OF MARIJUANA,1803,78745,2555
ASSAULT WITH INJURY,900,78751,2548
POSSESSION OF MARIJUANA,1803,78744,2542
THEFT,600,78750,2524
BURGLARY OF VEHICLE,601,78724,2498
FAMILY DISTURBANCE,3400,78701,2490
BURGLARY OF VEHICLE,601,78722,2482
CUSTODY ARREST TRAFFIC WARR,3722,78744,2481
ASSAULT W/INJURY-FAM/DATE VIOL,900,78721,2470
POSSESSION OF MARIJUANA,1803,78723,2469
THEFT BY SHOPLIFTING,607,78759,2457
HARASSMENT,2703,78759,2451
CRIMINAL TRESPASS,2716,78752,2400
POSSESSION OF MARIJUANA,1803,78704,2387
URINATING IN PUBLIC PLACE,3212,78701,2364
AUTO THEFT,700,78752,2361
BURGLARY NON RESIDENCE,502,78741,2351
BURGLARY OF VEHICLE,601,78729,2351
THEFT,600,78756,2338
DOC FIGHTING,2406,78701,2333
DISTURBANCE - OTHER,3401,78752,2331
THEFT,600,78754,2330
ASSAULT WITH INJURY,900,78752,2323
POSS CONTROLLED SUB/NARCOTIC,1800,78723,2290
BURGLARY OF VEHICLE,601,78735,2288
THEFT BY SHOPLIFTING,607,78613,2259
ASSAULT WITH INJURY,900,78744,2247
POSSESSION OF MARIJUANA,1803,78758,2247
BURGLARY OF RESIDENCE,500,78705,2237
VIOL CITY ORDINANCE - OTHER,3299,78702,2232
BURGLARY OF RESIDENCE,500,78757,2229
WARRANT ARREST NON TRAFFIC,3442,78723,2227
VIOL CITY ORDINANCE - OTHER,3299,78741,2221
HARASSMENT,2703,78752,2213
BURGLARY OF VEHICLE,601,78756,2204
BURGLARY OF VEHICLE,601,78721,2203
WARRANT ARREST NON TRAFFIC,3442,78758,2199
VIOL CITY ORDINANCE - OTHER,3299,78704,2170
CRIMINAL MISCHIEF,1400,78703,2160
AUTO THEFT,700,78702,2159
THEFT,600,78722,2134
FAMILY DISTURBANCE,3400,78747,2120
CUSTODY ARREST TRAFFIC WARR,3722,78752,2114
PROTECTIVE ORDER,3829,78701,2103
CRIMINAL TRESPASS,2716,78745,2094
ASSAULT W/INJURY-FAM/DATE VIOL,900,78724,2087
THEFT BY SHOPLIFTING,607,78751,2080
POSS CONTROLLED SUB/NARCOTIC,1800,78745,2070
THEFT FROM PERSON,610,78701,2040
CRIMINAL MISCHIEF,1400,78731,2008
WARRANT ARREST NON TRAFFIC,3442,78745,2007
BURGLARY OF RESIDENCE,500,78751,2006
CRIMINAL MISCHIEF,1400,78750,1993
THEFT,600,78613,1977
DISTURBANCE - OTHER,3401,78748,1971
BURGLARY OF RESIDENCE,500,78759,1964
POSS CONTROLLED SUB/NARCOTIC,1800,78758,1959
ASSAULT BY CONTACT,902,78741,1954
BURGLARY OF RESIDENCE,500,78721,1941
ASSAULT BY THREAT,901,78741,1932
THEFT BY SHOPLIFTING,607,78752,1931
AGG ASSAULT,402,78741,1928
DISTURBANCE - OTHER,3401,78759,1921
THEFT,600,78719,1912
BURGLARY OF RESIDENCE,500,78724,1905
ASSAULT W/INJURY-FAM/DATE VIOL,900,78701,1905
ASSAULT W/INJURY-FAM/DATE VIOL,900,78759,1902
BURGLARY NON RESIDENCE,502,78723,1901
HARASSMENT,2703,78749,1876
FEDERAL VIOL/OTHER,4205,78719,1846
VIOL CITY ORDINANCE - OTHER,3299,78753,1836
BURGLARY NON RESIDENCE,502,78757,1824
POSS CONTROLLED SUB/NARCOTIC,1800,78744,1821
THEFT,600,78717,1815
FAMILY DISTURBANCE,3400,78726,1814
WARRANT ARREST NON TRAFFIC,3442,78752,1802
AUTO THEFT,700,78701,1797
IDENTITY THEFT,4022,78745,1791
IDENTITY THEFT,4022,78753,1780
POSS OF DRUG PARAPHERNALIA,1818,78723,1772
FAMILY DISTURBANCE,3400,78731,1762
AGG ROBBERY/DEADLY WEAPON,300,78741,1761
POSS OF DRUG PARAPHERNALIA,1818,78704,1752
AGG ASSAULT,402,78701,1740
POSS OF DRUG PARAPHERNALIA,1818,78752,1739
HARASSMENT,2703,78701,1737
HARASSMENT,2703,78727,1726
ASSAULT BY CONTACT FAM/DATING,902,78741,1723
IDENTITY THEFT,4022,78758,1722
ASSAULT BY CONTACT,902,78704,1717
POSS CONTROLLED SUB/NARCOTIC,1800,78704,1712
THEFT,600,78735,1710
HARASSMENT,2703,78757,1706
POSS CONTROLLED SUB/NARCOTIC,1800,78752,1695
CUSTODY ARREST TRAFFIC WARR,3722,78759,1688
THEFT BY SHOPLIFTING,607,78744,1670
DATING DISTURBANCE,2400,78741,1668
FAMILY DISTURBANCE,3400,78717,1655
IDENTITY THEFT,4022,78741,1650
AUTO THEFT,700,78705,1642
ASSAULT W/INJURY-FAM/DATE VIOL,900,78757,1638
BURGLARY OF RESIDENCE,500,78727,1635
ASSAULT BY CONTACT,902,78758,1628
THEFT OF BICYCLE,609,78702,1628
WARRANT ARREST NON TRAFFIC,3442,78744,1617
THEFT OF BICYCLE,609,78741,1614
DISTURBANCE - OTHER,3401,78757,1608
AUTO THEFT,700,78759,1606
BURGLARY OF RESIDENCE,500,78749,1592
DISTURBANCE - OTHER,3401,78721,1586
AGG ASSAULT,402,78753,1580
THEFT BY SHOPLIFTING,607,78745,1563
BURGLARY NON RESIDENCE,502,78759,1562
DWI,2100,78757,1549
ASSAULT W/INJURY-FAM/DATE VIOL,900,78727,1547
BURGLARY NON RESIDENCE,502,78744,1543
BURGLARY OF VEHICLE,601,78747,1534
POSS OF DRUG PARAPHERNALIA,1818,78745,1532
POSSESSION OF MARIJUANA,1803,78752,1524
WARRANT ARREST NON TRAFFIC,3442,78705,1517
HARASSMENT,2703,78721,1516
THEFT BY SHOPLIFTING,607,78702,1501
ASSAULT BY CONTACT,902,78745,1500
AGG ASSAULT,402,78758,1494
FRAUD - OTHER,1199,78745,1490
CRIMINAL MISCHIEF,1400,78754,1486
THEFT OF BICYCLE,609,78751,1484
CRIMINAL MISCHIEF,1400,78729,1484
IDENTITY THEFT,4022,78704,1481
BURGLARY NON RESIDENCE,502,78701,1480
DISTURBANCE - OTHER,3401,78751,1478
CRIMINAL TRESPASS,2716,78705,1477
TERRORISTIC THREAT,2704,78741,1476
CRIMINAL TRESPASS,2716,78744,1471
DWI,2100,78751,1471
POSS OF DRUG PARAPHERNALIA,1818,78758,1459
ASSAULT BY CONTACT,902,78753,1448
PROSTITUTION,1600,78753,1439
FAMILY DISTURBANCE,3400,78735,1431
HARASSMENT,2703,78724,1403
ASSAULT BY THREAT,901,78745,1401
DWI,2100,78748,1397
AUTO THEFT,700,78757,1394
FAMILY DISTURBANCE,3400,78722,1394
POSS CONTROLLED SUB/NARCOTIC,1800,78721,1380
TERRORISTIC THREAT,2704,78758,1374
CRIMINAL MISCHIEF,1400,78746,1372
AIRPORT PLACES WEAPON PROHIBIT,1509,78719,1372
AUTO THEFT,700,78748,1363
CUSTODY ARREST TRAFFIC WARR,3722,78721,1362
ASSAULT BY THREAT,901,78758,1357
ASSAULT WITH INJURY,900,78721,1343
THEFT,600,78617,1342
FAMILY DISTURBANCE,3400,78705,1340
FORGERY AND PASSING,1000,78753,1334
ASSAULT BY THREAT,901,78723,1332
AGG ROBBERY/DEADLY WEAPON,300,78758,1331
ASSAULT BY THREAT,901,78704,1330
AUTO THEFT,700,78751,1330
AGG ASSAULT,402,78702,1328
ASSAULT BY THREAT,901,78753,1326
ASSAULT BY CONTACT,902,78723,1324
IDENTITY THEFT,4022,78759,1320
ASSAULT W/INJURY-FAM/DATE VIOL,900,78749,1318
POSSESSION OF MARIJUANA,1803,78721,1315
FAMILY DISTURBANCE/PARENTAL,3458,78744,1313
THEFT BY SHOPLIFTING,607,78749,1310
THEFT OF SERVICE,608,78704,1308
TERRORISTIC THREAT,2704,78753,1306
ASSAULT WITH INJURY,900,78705,1305
HARASSMENT,2703,78751,1301
DEL CONTROLLED SUB/NARCOTIC,1804,78702,1299
HARASSMENT,2703,78705,1298
DWI,2100,78705,1281
IDENTITY THEFT,4022,78744,1280
CRIMINAL MISCHIEF,1400,78756,1279
BURGLARY OF VEHICLE,601,78717,1271
ASSAULT BY CONTACT,902,78702,1270
DWI,2100,78731,1268
AGG ASSAULT,402,78723,1265
FRAUD - OTHER,1199,78704,1265
ASSAULT BY THREAT,901,78702,1263
HARASSMENT,2703,78731,1261
ASSAULT BY CONTACT FAM/DATING,902,78753,1260
IDENTITY THEFT,4022,78723,1248
SIT AND LIE ORDINANCE VIOL,3295,78701,1242
POSS OF DRUG PARAPHERNALIA,1818,78744,1239
FRAUD - OTHER,1199,78741,1239
IDENTITY THEFT,4022,78748,1239
AGG ROBBERY/DEADLY WEAPON,300,78753,1236
THEFT OF SERVICE,608,78753,1231
FAMILY DISTURBANCE,3400,78756,1224
BURGLARY NON RESIDENCE,502,78752,1221
THEFT BY SHOPLIFTING,607,78757,1219
DISTURBANCE - OTHER,3401,78749,1216
VOCO - ALCOHOL  CONSUMPTION,3211,78704,1215
BURGLARY OF VEHICLE,601,78660,1210
FAMILY DISTURBANCE/PARENTAL,3458,78753,1203
ASSAULT W/INJURY-FAM/DATE VIOL,900,78751,1202
FAMILY DISTURBANCE/PARENTAL,3458,78741,1200
DISTURBANCE - OTHER,3401,78724,1199
THEFT,600,78726,1194
DAMAGE CITY PROP,3817,78701,1184
CRIMINAL TRESPASS/TRANSIENT,2721,78741,1182
WARRANT ARREST NON TRAFFIC,3442,78751,1181
THEFT OF SERVICE,608,78701,1179
FRAUD - OTHER,1199,78758,1178
DISTURBANCE - OTHER,3401,78727,1177
DISTURBANCE - OTHER,3401,78705,1176
TERRORISTIC THREAT,2704,78723,1176
BURGLARY NON RESIDENCE,502,78751,1172
FAILURE TO IDENTIFY,2707,78741,1158
FAMILY DISTURBANCE/PARENTAL,3458,78758,1155
CRIMINAL TRESPASS,2716,78721,1154
ASSAULT W/INJURY-FAM/DATE VIOL,900,78729,1152
ASSAULT W/INJURY-FAM/DATE VIOL,900,78754,1144
CUSTODY ARREST TRAFFIC WARR,3722,78751,1131
BURGLARY OF RESIDENCE,500,78703,1128
ASSAULT BY CONTACT FAM/DATING,902,78744,1125
ROBBERY BY ASSAULT,303,78741,1123
ASSAULT BY CONTACT FAM/DATING,902,78758,1116
THEFT OF SERVICE,608,78745,1114
CRIMINAL MISCHIEF,1400,78735,1114
HARASSMENT,2703,78754,1109
CRIMINAL MISCHIEF,1400,78617,1108
BURGLARY OF RESIDENCE,500,78731,1106
AGG ASSAULT FAM/DATE VIOLENCE,402,78741,1104
BURGLARY OF VEHICLE,601,78726,1099
CRIMINAL TRESPASS/TRANSIENT,2721,78704,1098
DATING DISTURBANCE,2400,78753,1094
DISTURBANCE - OTHER,3401,78729,1086
FRAUD - OTHER,1199,78753,1079
FAMILY DISTURBANCE,3400,78703,1077
ASSAULT BY THREAT,901,78744,1077
CRED CARD ABUSE - OTHER,1106,78745,1076
CRIMINAL MISCHIEF,1400,78722,1073
THEFT OF SERVICE,608,78741,1068
POSS OF DRUG PARAPHERNALIA,1818,78721,1063
DEBIT CARD ABUSE,1108,78753,1060
BURGLARY NON RESIDENCE,502,78748,1060
BURGLARY OF VEHICLE,601,78617,1057
CRIMINAL TRESPASS,2716,78751,1056
BURGLARY OF RESIDENCE,500,78754,1055
FORGERY AND PASSING,1000,78758,1055
TERRORISTIC THREAT,2704,78745,1051
DATING DISTURBANCE,2400,78745,1051
VIOL STATE LAW - OTHER,3399,78701,1046
BURGLARY OF RESIDENCE,500,78722,1043
HARASSMENT,2703,78750,1041
FORGERY AND PASSING,1000,78745,1038
DEBIT CARD ABUSE,1108,78758,1031
CRED CARD ABUSE - OTHER,1106,78753,1025
ASSAULT W/INJURY-FAM/DATE VIOL,900,78617,1022
DEBIT CARD ABUSE,1108,78745,1021
TERRORISTIC THREAT,2704,78704,1020
ASSAULT WITH INJURY,900,78724,1019
THEFT,600,78747,1008
ASSAULT BY THREAT,901,78701,1007
DATING DISTURBANCE,2400,78704,1006
DATING DISTURBANCE,2400,78758,1004
BURGLARY OF VEHICLE,601,78739,1001
ASSAULT WITH INJURY,900,78748,999
AGG ROBBERY/DEADLY WEAPON,300,78723,997
CHILD CUSTODY INTERFERE,2001,78744,997
CRED CARD ABUSE - OTHER,1106,78758,996
HARASSMENT,2703,78729,990
CRIMINAL MISCHIEF,1400,78747,985
BURGLARY OF VEH-NO SUSPECT/FU,601,78704,985
ASSAULT BY CONTACT FAM/DATING,902,78745,980
ASSAULT BY CONTACT,902,78744,979
AGG ASSAULT,402,78745,977
FAMILY DISTURBANCE/PARENTAL,3458,78745,975
ROBBERY BY ASSAULT,303,78701,972
DISTURBANCE - OTHER,3401,78750,972
BURGLARY NON RESIDENCE,502,78705,971
DWI 2ND,2102,78704,969
IDENTITY THEFT,4022,78701,968
THEFT,600,78660,964
CRED CARD ABUSE - OTHER,1106,78701,958
CRIMINAL TRESPASS/HOTEL,2722,78753,953
TERRORISTIC THREAT,2704,78701,950
FRAUD - OTHER,1199,78748,945
THEFT FROM AUTO,603,78753,943
FRAUD - OTHER,1199,78744,936
IDENTITY THEFT,4022,78702,935
DWI 2ND,2102,78701,933
CRED CARD ABUSE - OTHER,1106,78704,929
ASSAULT BY CONTACT FAM/DATING,902,78723,927
WARRANT ARREST NON TRAFFIC,3442,78721,923
GRAFFITI,1402,78704,923
AGG ASSAULT,402,78744,921
ASSAULT WITH INJURY,900,78757,915
CUSTODY ARREST TRAFFIC WARR,3722,78719,914
DWI,2100,78746,912
CUSTODY ARREST TRAFFIC WARR,3722,78757,910
HARASSMENT,2703,78703,910
THEFT OF SERVICE,608,78758,909
VOCO AMPLIFIED MUSIC/VEHICLE,3218,78702,909
VOCO SOLICITATION PROHIBIT,3296,78745,904
VIOL CITY ORDINANCE - OTHER,3299,78758,894
IDENTITY THEFT,4022,78749,894
THEFT OF BICYCLE,609,78703,890
VIOL STATE LAW - OTHER,3399,78702,889
THEFT FROM AUTO,603,78745,888
AGG ASLT STRANGLE/SUFFOCATE,410,78741,885
FAILURE TO IDENTIFY,2707,78753,884
ASSAULT W/INJURY-FAM/DATE VIOL,900,78750,883
BURGLARY OF VEHICLE,601,78613,876
BURGLARY OF RESIDENCE,500,78617,872
FORGERY AND PASSING,1000,78704,872
TERRORISTIC THREAT,2704,78744,867
CRIMINAL TRESPASS/TRANSIENT,2721,78705,866
AGG ASSAULT,402,78704,865
THEFT FROM AUTO,603,78758,864
FAILURE TO IDENTIFY,2707,78702,862
ASSAULT BY CONTACT,902,78752,859
AGG ASSAULT FAM/DATE VIOLENCE,402,78758,857
FAMILY DISTURBANCE,3400,78746,852
FAILURE TO REG AS SEX OFFENDER,1799,78701,851
AGG ASSAULT,402,78752,851
AGG ASSAULT FAM/DATE VIOLENCE,402,78753,845
CHILD CUSTODY INTERFERE,2001,78748,842
POSSESSION OF MARIJUANA,1803,78748,834
FELONY ENHANCEMENT/ASSLT W/INJ,909,78741,832
DEBIT CARD ABUSE,1108,78704,832
CUSTODY ARREST TRAFFIC WARR,3722,78748,830
DWI,2100,78749,827
DWI,2100,78727,826
THEFT OF BICYCLE,609,78745,823
VIOL STATE LAW - OTHER,3399,78741,821
THEFT OF LICENSE PLATE,614,78758,819
THEFT FROM AUTO,603,78741,816
VIOL CITY ORDINANCE - OTHER,3299,78745,815
THEFT FROM AUTO,603,78744,814
AUTO THEFT,700,78724,814
GRAFFITI,1402,78705,813
CRIMINAL TRESPASS/TRANSIENT,2721,78753,812
CRIMINAL MISCHIEF,1400,78717,810
FAMILY DISTURBANCE/PARENTAL,3458,78723,808
FAILURE TO IDENTIFY,2707,78701,806
AUTO THEFT,700,78721,806
DWI 2ND,2102,78741,803
FRAUD - OTHER,1199,78723,803
CRIMINAL TRESPASS/TRANSIENT,2721,78702,799
CRED CARD ABUSE - OTHER,1106,78759,796
BURGLARY OF RESIDENCE,500,78750,795
CRIMINAL TRESPASS,2716,78757,791
AGG ASSAULT FAM/DATE VIOLENCE,402,78723,790
IDENTITY THEFT,4022,78731,790
DEL CONTROLLED SUB/NARCOTIC,1804,78701,789
DWI,2100,78721,788
DATING DISTURBANCE,2400,78744,787
BURGLARY OF RESIDENCE,500,78747,786
DEBIT CARD ABUSE,1108,78741,785
VOCO - ALCOHOL  CONSUMPTION,3211,78741,783
CRIMINAL TRESPASS,2716,78748,782
ASSAULT WITH INJURY,900,78759,780
THEFT BY SHOPLIFTING,607,78717,780
CUSTODY ARREST TRAFFIC WARR,3722,78705,775
FRAUD - OTHER,1199,78759,769
THEFT OF BICYCLE,609,78758,768
ROBBERY BY ASSAULT,303,78753,767
AUTO THEFT,700,78727,767
DWI,2100,78750,763
DWI 2ND,2102,78745,762
CRIMINAL MISCHIEF,1400,78726,762
VIOL CITY ORDINANCE - OTHER,3299,78705,762
HARASSMENT,2703,78756,761
AGG ROBBERY/DEADLY WEAPON,300,78702,759
IDENTITY THEFT,4022,78727,759
WARRANT ARREST NON TRAFFIC,3442,78757,756
FAILURE TO IDENTIFY,2707,78758,755
FORGERY AND PASSING,1000,78723,754
CHILD CUSTODY INTERFERE,2001,78745,753
THEFT OF LICENSE PLATE,614,78753,751
ROBBERY BY ASSAULT,303,78758,750
DEBIT CARD ABUSE,1108,78748,749
WARRANT ARREST NON TRAFFIC,3442,78759,746
IDENTITY THEFT,4022,78757,745
BURGLARY OF VEHICLE,601,78730,744
BURGLARY NON RESIDENCE,502,78721,744
THEFT FROM PERSON,610,78746,743
ASSAULT W/INJURY-FAM/DATE VIOL,900,78705,740
DISTURBANCE - OTHER,3401,78731,740
FORGERY AND PASSING,1000,78759,736
DWI,2100,78724,735
BURGLARY OF RESIDENCE,500,78756,735
GRAFFITI,1402,78701,732
FORGERY AND PASSING,1000,78741,732
CRASH/FAIL STOP AND RENDER AID,3604,78741,730
TERRORISTIC THREAT,2704,78702,728
VIOL CITY ORDINANCE - CURFEW,3213,78744,727
GRAFFITI,1402,78702,726
HARASSMENT,2703,78617,725
PROSTITUTION,1600,78702,722
POSS CONTROLLED SUB/NARCOTIC,1800,78751,720
ROBBERY BY ASSAULT,303,78702,720
AUTO THEFT,700,78754,718
CRED CARD ABUSE - OTHER,1106,78741,718
VOCO AMPLIFIED MUSIC/VEHICLE,3218,78741,715
AGG ROBBERY/DEADLY WEAPON,300,78752,713
FORGERY AND PASSING,1000,78701,713
POSS CONTROLLED SUB/NARCOTIC,1800,78748,711
AUTO THEFT,700,78746,710
CRIMINAL TRESPASS,2716,78759,707
FAMILY DISTURBANCE/PARENTAL,3458,78748,707
ASSAULT W/INJURY-FAM/DATE VIOL,900,78747,705
THEFT FROM AUTO,603,78704,705
ASSAULT W/INJURY-FAM/DATE VIOL,900,78731,704
